mpa_name,date,bottomT,long_dd,lat_dd,long_approx,lat_approx
Point Sur SMR,2016-07-13,10.534104444086552,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-14,10.338541835546494,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-15,10.2755516320467,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-16,10.273354299366474,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-17,10.313638731837273,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-18,10.40226448327303,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-19,10.468916907906532,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-20,10.497482232749462,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-21,10.565599545836449,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-22,10.643238633871078,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-23,10.714285723865032,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-24,10.771416373550892,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-25,10.861507013440132,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-26,11.000671416521072,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-27,11.180852696299553,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-28,11.339793093502522,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-29,11.451857060194016,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-30,11.47383038699627,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-07-31,11.458449058234692,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-08-01,11.651814334094524,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-08-02,11.616657011210918,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-08-03,11.448194839060307,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-08-04,11.397656187415123,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-08-05,11.131778933107853,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-08-06,10.791924811899662,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-08-07,10.478438682854176,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
Point Sur SMR,2016-08-08,10.245521418750286,-121.88056092872833,36.27748432086661,-121.91666412353516,36.25
